ts,fng,fng_label,symbol,price,score,direction,eff_thresh,regime,adx,plus_di,minus_di,hurst,score_3m,score_5m,score_15m,tp,sl_hard
2026-05-28 03:18:50,22,Extreme Fear,BTCUSDT,73623.5,0.25,SKIP,4.2,RANGING,44.8,7.0,41.0,0.0083,-0.39,-0.58,-0.78,,
2026-05-28 03:18:50,22,Extreme Fear,DOGEUSDT,0.09869,0.25,SKIP,4.2,RANGING,46.1,7.5,43.1,0.0372,-0.39,-0.58,-0.78,,
2026-05-28 03:18:50,22,Extreme Fear,BNBUSDT,640.93,0.25,SKIP,4.2,RANGING,49.1,5.9,42.0,0.0144,-0.39,-0.58,-0.78,,
2026-05-28 03:18:50,22,Extreme Fear,XRPUSDT,1.2869,0.25,SKIP,4.2,RANGING,47.2,5.2,39.6,0.029,-0.39,-0.58,-0.78,,
2026-05-28 03:24:40,22,Extreme Fear,BTCUSDT,73898.4,-0.37,SKIP,4.2,RANGING,44.8,7.0,41.0,0.0,-1.0,-0.58,-0.78,,
2026-05-28 03:24:40,22,Extreme Fear,DOGEUSDT,0.09954,-1.28,SKIP,4.2,RANGING,46.1,7.5,43.1,0.0196,-1.0,-1.5,-0.78,,
2026-05-28 03:24:40,22,Extreme Fear,BNBUSDT,642.9,-1.73,SKIP,4.2,RANGING,49.1,5.9,42.0,0.0097,-1.0,-1.95,-0.78,,
2026-05-28 03:24:40,22,Extreme Fear,XRPUSDT,1.296,-2.08,SKIP,4.2,RANGING,47.2,5.2,39.6,0.0136,-1.8,-1.5,-0.78,,
2026-05-28 06:23:59,50,Neutral,BTCUSDT,72878.1,-3.8,SKIP,4.2,RANGING,65.1,4.8,34.5,0.0,-0.3,-1.5,-2.0,,
2026-05-28 06:23:59,50,Neutral,DOGEUSDT,0.09754,-5.5,SHORT,4.2,RANGING,57.0,6.3,34.5,0.0,-0.8,-2.7,-2.0,0.093804,0.099369
2026-05-28 06:23:59,50,Neutral,BNBUSDT,633.83,-4.5,SHORT,4.2,RANGING,70.0,4.5,37.6,0.0,-1.0,-1.5,-2.0,609.554311,645.714313
2026-05-28 06:23:59,50,Neutral,XRPUSDT,1.2815,-2.0,SKIP,4.2,RANGING,61.5,7.6,27.7,0.0,1.2,-1.2,-2.0,,
2026-05-28 06:47:58,22,Extreme Fear,BTCUSDT,73125.3,-7.87,SHORT,4.2,RANGING,65.7,10.9,34.1,0.0,-2.99,-4.88,-2.0,70324.60101,74496.399375
2026-05-28 06:47:58,22,Extreme Fear,DOGEUSDT,0.098,-6.74,SHORT,4.2,RANGING,60.5,11.2,31.7,0.0,-2.99,-3.75,-2.0,0.094247,0.099838
2026-05-28 06:47:58,22,Extreme Fear,BNBUSDT,634.25,-5.04,SHORT,4.2,RANGING,70.8,6.6,38.8,0.0,-2.34,-2.7,-2.0,609.958225,646.142187
2026-05-28 06:47:58,22,Extreme Fear,XRPUSDT,1.2874,-0.23,SKIP,4.2,RANGING,63.7,11.8,26.5,0.0,0.39,0.98,-3.6,,
2026-05-28 07:12:14,22,Extreme Fear,BTCUSDT,73172.1,0.7,SKIP,4.2,RANGING,62.2,13.1,32.5,0.0,0.4,0.3,-2.0,,
2026-05-28 07:12:14,22,Extreme Fear,DOGEUSDT,0.09795,1.5,SKIP,4.2,RANGING,57.3,11.8,29.8,0.0,1.2,0.3,-2.0,,
2026-05-28 07:12:14,22,Extreme Fear,BNBUSDT,634.22,-3.5,SKIP,4.2,RANGING,65.8,8.3,36.5,0.0,-0.8,-2.7,-2.0,,
2026-05-28 07:12:14,22,Extreme Fear,XRPUSDT,1.2881,1.2,SKIP,4.2,RANGING,60.4,12.9,25.1,0.0,1.0,1.8,-3.6,,
2026-05-28 07:27:25,22,Extreme Fear,BTCUSDT,73222.4,2.2,SKIP,4.2,RANGING,58.8,16.3,30.9,0.0,0.4,1.8,-2.0,,
2026-05-28 07:27:25,22,Extreme Fear,DOGEUSDT,0.09835,-0.3,SKIP,4.2,RANGING,54.1,17.3,27.9,0.0,0.7,0.6,-3.6,,
2026-05-28 07:27:25,22,Extreme Fear,BNBUSDT,635.3,0.0,SKIP,4.2,RANGING,63.6,11.2,35.1,0.0,1.2,-1.2,-2.0,,
2026-05-28 07:27:25,22,Extreme Fear,XRPUSDT,1.2909,0.9,SKIP,4.2,RANGING,53.6,17.2,23.5,0.0,1.0,1.5,-3.6,,
2026-05-28 07:32:29,22,Extreme Fear,BTCUSDT,73284.0,-0.3,SKIP,4.2,RANGING,56.3,16.0,30.0,0.0,0.7,0.6,-3.6,,
2026-05-28 07:32:29,22,Extreme Fear,DOGEUSDT,0.09844,0.0,SKIP,4.2,RANGING,50.5,17.0,27.0,0.0,1.0,0.6,-3.6,,
